epoch,accuracy,loss,val_accuracy,val_loss
0,0.8056898713111877,0.6749935746192932,0.859421968460083,0.46064507961273193
1,0.891321063041687,0.35280877351760864,0.9283176064491272,0.22938503324985504
2,0.946395218372345,0.17266550660133362,0.9569342136383057,0.13876758515834808
3,0.9710588455200195,0.09567167609930038,0.9759994745254517,0.07922222465276718
4,0.981829822063446,0.06214936450123787,0.9846290349960327,0.053828153759241104
5,0.9872969388961792,0.04446212947368622,0.9877162575721741,0.04385382682085037
6,0.9904080033302307,0.03408600762486458,0.9902690052986145,0.035063598304986954
7,0.9923553466796875,0.02715209685266018,0.9908989071846008,0.03286614269018173
8,0.9937154054641724,0.022464625537395477,0.9921660423278809,0.02880128100514412
9,0.9946686625480652,0.01888655312359333,0.9930723905563354,0.025970658287405968
10,0.9954202175140381,0.016266008839011192,0.9931269288063049,0.025525297969579697
11,0.9960014224052429,0.014033803716301918,0.9929142594337463,0.02616015449166298
12,0.9964970946311951,0.012197448872029781,0.9936962723731995,0.02405797317624092
13,0.9969363212585449,0.010667059570550919,0.9940598011016846,0.023316824808716774
14,0.997236430644989,0.009459182620048523,0.9942235350608826,0.022316355258226395
15,0.9975779056549072,0.008422374725341797,0.9942157864570618,0.022845502942800522
16,0.9978806376457214,0.007422187365591526,0.9943915605545044,0.022860046476125717
17,0.9980494379997253,0.006716181058436632,0.9944007396697998,0.02226828597486019
18,0.9982609152793884,0.005996831692755222,0.9946276545524597,0.02218310721218586
19,0.9984648823738098,0.005376510787755251,0.9946906566619873,0.02231317199766636
20,0.9985785484313965,0.004917824640870094,0.9950137734413147,0.021779576316475868
21,0.998741865158081,0.004390372429043055,0.9948132038116455,0.022290779277682304
22,0.9988572597503662,0.0040622917003929615,0.9949143528938293,0.022529296576976776
23,0.9990006685256958,0.0036023228894919157,0.9949454069137573,0.022640366107225418
24,0.999114990234375,0.003283395664766431,0.995145857334137,0.022444430738687515
25,0.9991698265075684,0.0030474744271486998,0.9951976537704468,0.02235177904367447
26,0.999230146408081,0.002850836142897606,0.9949355125427246,0.023106589913368225
27,0.9992820024490356,0.0026615045499056578,0.9947678446769714,0.023831479251384735
